[ 2025-09-28 19:12:50,574 ] 16 root - INFO - Initiate the data ingestion
[ 2025-09-28 19:12:51,887 ] 68 root - INFO - Performed train test split on the dataframe
[ 2025-09-28 19:12:51,888 ] 69 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-09-28 19:12:51,888 ] 75 root - INFO - Exporting train and test file path.
[ 2025-09-28 19:12:51,994 ] 83 root - INFO - Exported train and test file path.
[ 2025-09-28 19:12:51,994 ] 18 root - INFO - Data Initiation completed
[ 2025-09-28 19:12:52,015 ] 22 root - INFO - Initiate the data validation
[ 2025-09-28 19:12:52,161 ] 32 root - INFO - Required number of columns:2
[ 2025-09-28 19:12:52,162 ] 33 root - INFO - Dataframe has columns:31
[ 2025-09-28 19:12:52,163 ] 32 root - INFO - Required number of columns:2
[ 2025-09-28 19:12:52,163 ] 33 root - INFO - Dataframe has columns:31
[ 2025-09-28 19:12:52,421 ] 24 root - INFO - Data Validation Completed
[ 2025-09-28 19:12:52,422 ] 27 root - INFO - Data Transformation Started
[ 2025-09-28 19:12:52,422 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-09-28 19:12:52,422 ] 65 root - INFO - Starting data transformation
[ 2025-09-28 19:12:52,463 ] 48 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-09-28 19:12:52,463 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-09-28 19:12:52,509 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-28 19:12:52,513 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-28 19:12:52,517 ] 31 root - INFO - Data Transformation Completed
[ 2025-09-28 19:12:52,517 ] 33 root - INFO - Model Training sstared
[ 2025-09-28 19:20:05,240 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-28 19:20:05,242 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-28 19:20:05,242 ] 104 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\09_28_2025_19_12_32\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9909928144924602, precision_score=0.9874949576442114, recall_score=0.9945155393053017), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9723002810116419, precision_score=0.9634049323786794, recall_score=0.9813614262560778))
[ 2025-09-28 19:20:05,253 ] 38 root - INFO - Model Training artifact created
